ticker,company,source_type,url,crawler_grade,needs_js,checked_at,http_status,final_url,title,fetch_error,page_years_2010_2023,option_years_2010_2023,train_year_hints_2010_2021,test_year_hints_2021_2023,same_site_historical_links_seen,sample_1_url,sample_1_status,sample_1_title,sample_1_years,sample_1_fulltext_like,sample_2_url,sample_2_status,sample_2_title,sample_2_years,sample_2_fulltext_like,historical_coverage_grade,historical_coverage_note
IBM,IBM,earnings_results_archive,https://www.ibm.com/investor/financial-reporting/quarterly-earnings,crawler_ready,no,2026-05-13T11:27:14Z,200,https://www.ibm.com/investor/financial-reporting/quarterly-earnings,Quarterly Earnings Announcements | IBM,,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021,2021|2022|2023,0,,,,,,,,,,,weak_historical_hint,"Only weak train-period hints, no good detail link found."
IBM,IBM,investor_relations,https://www.ibm.com/investor,crawler_ready,no,2026-05-13T11:27:14Z,200,https://www.ibm.com/investor,Investor Relations | IBM,,,,,,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
INTC,Intel,company_news_archive,https://www.intel.com/content/www/us/en/newsroom/home.html,fail,no,2026-05-13T11:27:14Z,403,https://www.intel.com/content/www/us/en/newsroom/home.html,Access Denied,,,,,,0,,,,,,,,,,,blocked_or_failed,Current fetch failed/forbidden; cannot validate history from this URL.
INTC,Intel,earnings_results_archive,https://www.intc.com/news-events/press-releases?category=financial,browser_or_api_needed,yes,2026-05-13T11:27:15Z,200,https://www.intc.com/news-events/press-releases?category=financial,Press Releases :: Intel Corporation (INTC),,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021,2021|2022|2023,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
INTC,Intel,press_releases_archive,https://www.intc.com/news-events/press-releases,browser_or_api_needed,yes,2026-05-13T11:27:14Z,200,https://www.intc.com/news-events/press-releases,Press Releases :: Intel Corporation (INTC),,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021,2021|2022|2023,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
JNJ,Johnson & Johnson,company_news_archive,https://www.jnj.com/media-center/press-releases,crawler_ready,no,2026-05-13T11:27:15Z,200,https://www.jnj.com/media-center/press-releases,Site Maintenance,,,,,,0,,,,,,,,,,,no_2010_2021_evidence,No train-window evidence found by direct HTML scan.
JNJ,Johnson & Johnson,earnings_results_archive,https://investor.jnj.com/financials/quarterly-results,browser_or_api_needed,yes,2026-05-13T11:27:15Z,403,https://investor.jnj.com/financials/quarterly-results,Just a moment...,,,,,,0,,,,,,,,,,,blocked_or_failed,Current fetch failed/forbidden; cannot validate history from this URL.
JNJ,Johnson & Johnson,press_releases_archive,https://www.jnj.com/media-center/press-releases/financial,crawler_ready,no,2026-05-13T11:27:15Z,200,https://www.jnj.com/media-center/press-releases/financial,Site Maintenance,,,,,,0,,,,,,,,,,,no_2010_2021_evidence,No train-window evidence found by direct HTML scan.
JPM,JPMorgan Chase,company_news_archive,https://www.jpmorganchase.com/newsroom/press-releases,crawler_ready,no,2026-05-13T11:27:16Z,200,https://www.jpmorganchase.com/newsroom/press-releases,Press Releases,,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,,2013|2014|2015|2016|2017|2018|2019|2020|2021,2021|2022|2023,0,,,,,,,,,,,weak_historical_hint,"Only weak train-period hints, no good detail link found."
JPM,JPMorgan Chase,earnings_results_archive,https://www.jpmorganchase.com/ir/quarterly-earnings,browser_or_api_needed,yes,2026-05-13T11:27:17Z,200,https://www.jpmorganchase.com/ir/quarterly-earnings,Quarterly Earnings | JPMorganChase,,,,,,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
JPM,JPMorgan Chase,investor_relations,https://www.jpmorganchase.com/ir,browser_or_api_needed,yes,2026-05-13T11:27:16Z,200,https://www.jpmorganchase.com/ir,Investor Relations | JPMorganChase,,,,,,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
KO,Coca-Cola,company_news_archive,https://www.coca-colacompany.com/media-center,crawler_ready,no,2026-05-13T11:27:17Z,200,https://www.coca-colacompany.com/media-center-,Media Center,,,,,,0,,,,,,,,,,,no_2010_2021_evidence,No train-window evidence found by direct HTML scan.
KO,Coca-Cola,earnings_results_archive,https://investors.coca-colacompany.com/news-events/press-releases?category=financial,browser_or_api_needed,yes,2026-05-13T11:27:17Z,200,https://investors.coca-colacompany.com/news-events/press-releases?category=financial,Press Releases :: The Coca-Cola Company (KO),,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021,2021|2022|2023,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
