ticker,company,source_type,url,hits_years,hit_count,hit_2010,hit_2015,hit_2021,sample_hits,pattern_probe_grade
KO,Coca-Cola,earnings_results_archive,https://investors.coca-colacompany.com/news-events/press-releases?category=financial,2010|2015|2021,3,True,True,True,2010 200 Press Releases :: The Coca-Cola Company (KO) -> https://investors.coca-colacompany.com/news-events/press-releases?category=financial&year=2010 || 2015 200 Press Releases :: The Coca-Cola Company (KO) -> https://investors.coca-colacompany.com/news-events/press-releases?category=financial&year=2015 || 2021 200 Press Releases :: The Coca-Cola Company (KO) -> https://investors.coca-colacompany.com/news-events/press-releases?category=financial&year=2021,old_and_recent_pattern
KO,Coca-Cola,press_releases_archive,https://investors.coca-colacompany.com/news-events/press-releases,2010|2015|2021,3,True,True,True,2010 200 Press Releases :: The Coca-Cola Company (KO) -> https://investors.coca-colacompany.com/news-events/press-releases?year=2010 || 2015 200 Press Releases :: The Coca-Cola Company (KO) -> https://investors.coca-colacompany.com/news-events/press-releases?year=2015 || 2021 200 Press Releases :: The Coca-Cola Company (KO) -> https://investors.coca-colacompany.com/news-events/press-releases?year=2021,old_and_recent_pattern
MCD,McDonald's,company_news_archive,https://corporate.mcdonalds.com/corpmcd/en-us/CorpNewsroom.html,2010|2015|2021,3,True,True,True,2010 200 Newsroom -> https://corporate.mcdonalds.com/corpmcd/en-us/CorpNewsroom.html?year=2010 || 2015 200 Newsroom -> https://corporate.mcdonalds.com/corpmcd/en-us/CorpNewsroom.html?year=2015 || 2021 200 Newsroom -> https://corporate.mcdonalds.com/corpmcd/en-us/CorpNewsroom.html?year=2021,old_and_recent_pattern
MCD,McDonald's,earnings_results_archive,https://investor.mcdonalds.com/financial-information/quarterly-results/default.aspx,2010|2015|2021,3,True,True,True,"2010 200 Investor Information, Services, and Relations | McDonald’s -> https://corporate.mcdonalds.com/corpmcd/investors.html?year=2010 || 2015 200 Investor Information, Services, and Relations | McDonald’s -> https://corporate.mcdonalds.com/corpmcd/investors.html?year=2015 || 2021 200 Investor Information, Services, and Relations | McDonald’s -> https://corporate.mcdonalds.com/corpmcd/investors.html?year=2021",old_and_recent_pattern
MCD,McDonald's,press_releases_archive,https://investor.mcdonalds.com/news-releases,2010|2015|2021,3,True,True,True,"2010 200 Investor Information, Services, and Relations | McDonald’s -> https://corporate.mcdonalds.com/corpmcd/investors.html || 2015 200 Investor Information, Services, and Relations | McDonald’s -> https://corporate.mcdonalds.com/corpmcd/investors.html || 2021 200 Investor Information, Services, and Relations | McDonald’s -> https://corporate.mcdonalds.com/corpmcd/investors.html",old_and_recent_pattern
MMM,3M,company_news_archive,https://news.3m.com/press-releases,2010|2015|2021,3,True,True,True,2010 200 3M News Center - Press Releases -> https://news.3m.com/press-releases/2010 || 2015 200 3M News Center - Press Releases -> https://news.3m.com/press-releases/2015 || 2021 200 3M News Center - Press Releases -> https://news.3m.com/press-releases/2021,old_and_recent_pattern
MMM,3M,earnings_results_archive,https://investors.3m.com/financials/quarterly-earnings,2010|2015|2021,3,True,True,True,2010 200 Quarterly Earnings :: 3M Company (MMM) -> https://investors.3m.com/financials/quarterly-earnings?year=2010 || 2015 200 Quarterly Earnings :: 3M Company (MMM) -> https://investors.3m.com/financials/quarterly-earnings?year=2015 || 2021 200 Quarterly Earnings :: 3M Company (MMM) -> https://investors.3m.com/financials/quarterly-earnings?year=2021,old_and_recent_pattern
MMM,3M,press_releases_archive,https://investors.3m.com/news-events/press-releases,2010|2015|2021,3,True,True,True,2010 200 Press Releases :: 3M Company (MMM) -> https://investors.3m.com/news-events/press-releases?year=2010 || 2015 200 Press Releases :: 3M Company (MMM) -> https://investors.3m.com/news-events/press-releases?year=2015 || 2021 200 Press Releases :: 3M Company (MMM) -> https://investors.3m.com/news-events/press-releases?year=2021,old_and_recent_pattern
MRK,Merck,company_news_archive,https://www.merck.com/media/news/,2010|2015|2021,3,True,True,True,2010 200 News releases - Merck.com -> https://www.merck.com/media/news/ || 2015 200 News releases - Merck.com -> https://www.merck.com/media/news/ || 2021 200 News releases - Merck.com -> https://www.merck.com/media/news/,old_and_recent_pattern
MRK,Merck,earnings_results_archive,https://www.merck.com/investor-relations/,2010|2015|2021,3,True,True,True,2010 200 Investor relations - Merck.com -> https://www.merck.com/investor-relations/ || 2015 200 Investor relations - Merck.com -> https://www.merck.com/investor-relations/ || 2021 200 Investor relations - Merck.com -> https://www.merck.com/investor-relations/,old_and_recent_pattern
MRK,Merck,press_releases_archive,https://www.merck.com/newsroom/,2010|2015|2021,3,True,True,True,2010 200 News releases - Merck.com -> https://www.merck.com/media/news/ || 2015 200 News releases - Merck.com -> https://www.merck.com/media/news/ || 2021 200 News releases - Merck.com -> https://www.merck.com/media/news/,old_and_recent_pattern
MSFT,Microsoft,company_news_archive,https://news.microsoft.com/source/,2010|2015|2021,3,True,True,True,2010 200 2010 - Source -> https://news.microsoft.com/source/2010 || 2015 200 2015 - Source -> https://news.microsoft.com/source/2015 || 2021 200 2021 - Source -> https://news.microsoft.com/source/2021,old_and_recent_pattern
MSFT,Microsoft,earnings_results_archive,https://www.microsoft.com/en-us/Investor/earnings,2010|2015|2021,3,True,True,True,2010 200 Default -> https://www.microsoft.com/en-us/Investor/earnings/default?year=2010 || 2015 200 Default -> https://www.microsoft.com/en-us/Investor/earnings/default?year=2015 || 2021 200 Default -> https://www.microsoft.com/en-us/Investor/earnings/default?year=2021,old_and_recent_pattern
MSFT,Microsoft,press_releases_archive,https://news.microsoft.com/source/tag/press-releases/,2010|2015|2021,3,True,True,True,2010 200 2010 - Source -> https://news.microsoft.com/source/2010/ || 2015 200 2015 - Source -> https://news.microsoft.com/source/2015/ || 2021 200 2021 - Source -> https://news.microsoft.com/source/2021/,old_and_recent_pattern
NKE,Nike,company_news_archive,https://news.nike.com/,2010|2015|2021,3,True,True,True,"2010 200 NIKE, Inc. Newsroom: Press Releases, Product Announcements and Media Resources — -> https://about.nike.com/en/newsroom || 2015 200 NIKE, Inc. Newsroom: Press Releases, Product Announcements and Media Resources — -> https://about.nike.com/en/newsroom || 2021 200 NIKE, Inc. Newsroom: Press Releases, Product Announcements and Media Resources — -> https://about.nike.com/en/newsroom",old_and_recent_pattern
NKE,Nike,earnings_results_archive,https://investors.nike.com/investors/news-events-and-reports/quarterly-earnings/default.aspx,,0,False,False,False,,no_pattern_hits
NKE,Nike,press_releases_archive,https://investors.nike.com/investors/news-events-and-reports/investor-news/default.aspx,,0,False,False,False,,no_pattern_hits
PG,Procter & Gamble,company_news_archive,https://news.pg.com/news-releases,2010|2015|2021,3,True,True,True,2010 200 Newsroom | P&amp;G -> https://us.pg.com/newsroom/ || 2015 200 Newsroom | P&amp;G -> https://us.pg.com/newsroom/ || 2021 200 Newsroom | P&amp;G -> https://us.pg.com/newsroom/,old_and_recent_pattern
PG,Procter & Gamble,earnings_results_archive,https://www.pginvestor.com/news/default.aspx?category=financial,2010|2015|2021,3,True,True,True,2010 200 News | Procter &amp; Gamble Investor Relations -> https://www.pginvestor.com/news/default.aspx?category=financial&year=2010 || 2015 200 News | Procter &amp; Gamble Investor Relations -> https://www.pginvestor.com/news/default.aspx?category=financial&year=2015 || 2021 200 News | Procter &amp; Gamble Investor Relations -> https://www.pginvestor.com/news/default.aspx?category=financial&year=2021,old_and_recent_pattern
PG,Procter & Gamble,press_releases_archive,https://www.pginvestor.com/news/default.aspx,2010|2015|2021,3,True,True,True,2010 200 News | Procter &amp; Gamble Investor Relations -> https://www.pginvestor.com/news/default.aspx?year=2010 || 2015 200 News | Procter &amp; Gamble Investor Relations -> https://www.pginvestor.com/news/default.aspx?year=2015 || 2021 200 News | Procter &amp; Gamble Investor Relations -> https://www.pginvestor.com/news/default.aspx?year=2021,old_and_recent_pattern
TRV,Travelers,company_news_archive,https://investor.travelers.com/newsroom/newsroom-overview/default.aspx,2010|2015|2021,3,True,True,True,2010 200 Travelers Investor Relations | Newsroom -> https://investor.travelers.com/newsroom/newsroom-overview/default.aspx?year=2010 || 2015 200 Travelers Investor Relations | Newsroom -> https://investor.travelers.com/newsroom/newsroom-overview/default.aspx?year=2015 || 2021 200 Travelers Investor Relations | Newsroom -> https://investor.travelers.com/newsroom/newsroom-overview/default.aspx?year=2021,old_and_recent_pattern
